0.81,3.73,-0.24,0.44
0.815,3.66,-0.25,0.45
0.817,3.6,-0.27,0.47
0.825,3.52,-0.31,0.47
0.827,3.43,-0.35,0.46
0.832,3.33,-0.37,0.44
0.837,3.23,-0.37,0.41
0.851,3.14,-0.36,0.38
0.852,3.03,-0.35,0.33
0.852,2.93,-0.34,0.29
0.859,2.83,-0.34,0.27
0.862,2.73,-0.34,0.24
0.866,2.63,-0.33,0.23
0.877,2.52,-0.31,0.22
0.879,2.41,-0.3,0.2
0.882,2.29,-0.3,0.18
0.886,2.18,-0.29,0.16
0.899,2.05,-0.25,0.15
0.9,1.91,-0.21,0.13
0.902,1.77,-0.17,0.12
0.918,1.62,-0.13,0.12
0.919,1.49,-0.1,0.12
0.921,1.34,-0.07,0.11
0.927,1.21,-0.04,0.1
0.928,1.07,0,0.08
0.931,0.92,0.03,0.08
0.936,0.77,0.05,0.07
0.949,0.63,0.07,0.05
0.95,0.49,0.08,0.04
0.952,0.35,0.09,0.02
0.969,0.21,0.12,0
0.971,0.08,0.13,-0.02
0.972,-0.06,0.14,-0.05
0.974,-0.18,0.15,-0.07
0.975,-0.3,0.16,-0.09
0.981,-0.4,0.16,-0.11
0.987,-0.49,0.16,-0.13
0.998,-0.58,0.16,-0.14
0.999,-0.64,0.16,-0.14
1.002,-0.69,0.15,-0.14
1.004,-0.74,0.14,-0.14
1.014,-0.77,0.13,-0.14
1.016,-0.81,0.13,-0.14
1.02,-0.83,0.12,-0.14
1.027,-0.85,0.12,-0.14
1.03,-0.85,0.12,-0.14
1.034,-0.86,0.11,-0.14
1.049,-0.86,0.13,-0.15
1.05,-0.87,0.16,-0.16
1.051,-0.89,0.21,-0.18
1.054,-0.92,0.27,-0.19
1.065,-0.96,0.33,-0.21
1.067,-1.01,0.37,-0.23
1.069,-1.08,0.4,-0.26
1.077,-1.15,0.38,-0.29
1.079,-1.23,0.36,-0.31
1.083,-1.32,0.35,-0.33
1.099,-1.42,0.35,-0.37
1.101,-1.54,0.37,-0.4
1.102,-1.69,0.39,-0.43
1.104,-1.85,0.43,-0.45
1.12,-2.02,0.47,-0.47
1.121,-2.21,0.51,-0.5
1.123,-2.41,0.55,-0.51
1.124,-2.62,0.57,-0.52
1.13,-2.87,0.6,-0.54
1.133,-3.13,0.63,-0.55
1.138,-3.38,0.65,-0.55
1.149,-3.63,0.66,-0.55
1.15,-3.87,0.64,-0.53
1.153,-4.09,0.61,-0.51
1.169,-4.29,0.56,-0.49
1.17,-4.47,0.51,-0.47
1.172,-4.63,0.47,-0.45
1.174,-4.76,0.45,-0.43
1.179,-4.87,0.45,-0.41
1.182,-4.97,0.44,-0.38
1.187,-5.04,0.44,-0.37
1.199,-5.11,0.48,-0.41
1.2,-5.16,0.54,-0.44
1.202,-5.15,0.58,-0.46
1.218,-5.1,0.58,-0.48
1.22,-4.99,0.56,-0.49
1.222,-4.85,0.55,-0.49
1.223,-4.69,0.55,-0.49
1.229,-4.52,0.54,-0.48
1.232,-4.35,0.52,-0.46
1.236,-4.17,0.48,-0.44
1.249,-4.01,0.43,-0.42
1.25,-3.85,0.38,-0.4
1.252,-3.69,0.32,-0.38
1.256,-3.54,0.25,-0.36
1.267,-3.38,0.18,-0.35
1.269,-3.22,0.09,-0.33
1.271,-3.04,0.01,-0.29
1.276,-2.86,-0.03,-0.24
1.281,-2.68,-0.03,-0.2
1.286,-2.5,-0.01,-0.17
1.299,-2.3,0.01,-0.14
1.3,-2.11,0.02,-0.11
1.302,-1.92,0.03,-0.07
1.305,-1.72,0.03,-0.04
1.319,-1.54,0.03,0
1.32,-1.35,0.03,0.02
1.322,-1.17,0.03,0.05
1.329,-1,0.03,0.06
1.33,-0.83,0.06,0.08
1.335,-0.68,0.08,0.09
1.35,-0.54,0.09,0.1
1.351,-0.41,0.11,0.11
1.352,-0.29,0.11,0.11
1.355,-0.18,0.11,0.11
1.371,-0.09,0.09,0.1
1.373,0.01,0.07,0.1
1.374,0.1,0.04,0.09
1.38,0.18,0.01,0.08
1.382,0.25,-0.01,0.06
1.384,0.3,-0.03,0.05
1.389,0.34,-0.05,0.04
1.4,0.38,-0.07,0.02
1.402,0.41,-0.08,0.01
1.403,0.43,-0.1,-0.01
1.422,0.44,-0.12,-0.02
1.423,0.45,-0.13,-0.04
1.425,0.45,-0.13,-0.05
1.426,0.45,-0.13,-0.06
1.429,0.43,-0.12,-0.07
1.434,0.41,-0.11,-0.07
1.438,0.39,-0.1,-0.07
1.444,0.35,-0.08,-0.08
1.448,0.32,-0.07,-0.08
1.453,0.28,-0.05,-0.07
1.466,0.24,-0.03,-0.07
1.467,0.2,-0.02,-0.07
1.469,0.16,0,-0.06
1.473,0.13,0.01,-0.05
1.486,0.09,0.02,-0.05
1.488,0.06,0.02,-0.03
